             Q2         Q3           Q4          Q5          Q6          Q7
Q18  0.26115337  0.33984992  0.3481341  0.521706762  0.52587858  0.45530953
Q19  0.22803607  0.31042499  0.2885477  0.423298639  0.40132212  0.29529690
Q20  0.19799245  0.28995643  0.2244736  0.384696410  0.35773267  0.30497602
Q21  0.28180808  0.30721242  0.4047660  0.425098146  0.38254956  0.48956710
Q22  0.45857865  0.50118164  0.5814733  0.541575035  0.56267674  0.61237605
Q23  0.47061755  0.55932683  0.6541694  0.599238011  0.61779356  0.69830881
Q24  0.54494394  0.59355241  0.6717857  0.613001735  0.63168763  0.68346806
Q25  0.52017693  0.61553557  0.6778752  0.639825214  0.60985630  0.64073747
Q26  0.61368464  0.57189608  0.6260801  0.460541327  0.52499207  0.58678218
Q27  0.65372338  0.55508245  0.6568903  0.506379623  0.55342211  0.63453987
Q28  0.39515772  0.43423034  0.4715116  0.499702218  0.51042994  0.44003031
            Q14          Q15           Q16         Q17         Q18         Q19
Q2  -0.16223028 -0.195031844 -0.1717853675 -0.03043318 -0.05138943 -0.06016670
Q3   0.22846991  0.251791561  0.1074892621  0.46912454  0.29318836  0.33075986
Q4  -0.04911205 -0.009350711 -0.0264378211  0.09328566 -0.01024660 -0.07117164
Q5   0.47924854  0.406138961  0.3964130478  0.25830903  0.35696733  0.23918425
Q6   0.39096729  0.458072568  0.2484791296  0.08045796  0.18078808  0.05654061
Q7   0.40061721  0.406804833  0.3389889368  0.35418542  0.30625071  0.34857963
Q8   0.50199402  0.446287884  0.2475202415  0.19613391  0.26115337  0.22803607
Q9   0.47753726  0.573829221  0.4274442376  0.25262907  0.33984992  0.31042499
Q10  0.62280770  0.604863611  0.4272162602  0.35565909  0.34813413  0.28854774
Q11  0.58535883  0.518996646  0.3653280830  0.42315023  0.52170676  0.42329864
Q12  0.64097288  0.594418864  0.3576863531  0.41544352  0.52587858  0.40132212
Q13  0.81195794  0.709030736  0.4700823843  0.35763407  0.45530953  0.29529690
Q14  1.00000000  0.699547687  0.3938717272  0.31953469  0.42820606  0.29777823
Q15  0.69954769  1.000000000  0.5054770041  0.43197653  0.45096556  0.43842439
Q16  0.39387173  0.505477004  1.0000000000  0.36381798  0.51381147  0.29757814
Q17  0.31953469  0.431976532  0.3638179757  1.00000000  0.54582488  0.53106684
Q18  0.42820606  0.450965562  0.5138114653  0.54582488  1.00000000  0.58324700
Q19  0.29777823  0.438424395  0.2975781441  0.53106684  0.58324700  1.00000000
Q20  0.38285168  0.408936842  0.2310116390  0.37177737  0.45111062  0.66366451
Q21  0.43393884  0.501254965  0.5189981832  0.46058329  0.53925429  0.53923025
Q22  0.63004954  0.584195657  0.4142661293  0.39847312  0.55972037  0.46930370
Q23  0.62784611  0.634792692  0.4372375466  0.36480980  0.56220442  0.40759829
Q24  0.61754713  0.610785046  0.3983707930  0.33569262  0.47309404  0.40290705
Q25  0.60128704  0.602378892  0.4073331671  0.34275191  0.49178332  0.36217494
Q26  0.56191093  0.568098662  0.3622416887  0.35732213  0.36176156  0.36852307
Q27  0.61814714  0.553131676  0.3913495580  0.28266950  0.41043290  0.25447379
Q28  0.39293797  0.475185398  0.2895411965  0.32485448  0.34999736  0.31036825
            Q20         Q21         Q22         Q23         Q24          Q25
Q2  -0.05398741 -0.05306468 -0.21712313 -0.19628119 -0.22661522 -0.278114394
Q3   0.23203159  0.16318966  0.23773804  0.16242407  0.10014118  0.154176476
Q4  -0.14707701 -0.05930193 -0.18397877 -0.15418583 -0.22317842 -0.179051667
Q5   0.24389055  0.37761903  0.50327889  0.49439578  0.52197327  0.491238534
Q6   0.11442017  0.18254488  0.35090596  0.32860927  0.36982733  0.383112967
Q7   0.31789218  0.27868533  0.40235333  0.42044211  0.33600369  0.425602748
Q8   0.19799245  0.28180808  0.45857865  0.47061755  0.54494394  0.520176927
Q9   0.28995643  0.30721242  0.50118164  0.55932683  0.59355241  0.615535569
Q10  0.22447357  0.40476601  0.58147334  0.65416938  0.67178572  0.677875224
Q11  0.38469641  0.42509815  0.54157503  0.59923801  0.61300174  0.639825214
Q12  0.35773267  0.38254956  0.56267674  0.61779356  0.63168763  0.609856298
Q13  0.30497602  0.48956710  0.61237605  0.69830881  0.68346806  0.640737475
Q14  0.38285168  0.43393884  0.63004954  0.62784611  0.61754713  0.601287043
Q15  0.40893684  0.50125497  0.58419566  0.63479269  0.61078505  0.602378892
Q16  0.23101164  0.51899818  0.41426613  0.43723755  0.39837079  0.407333167
Q17  0.37177737  0.46058329  0.39847312  0.36480980  0.33569262  0.342751910
Q18  0.45111062  0.53925429  0.55972037  0.56220442  0.47309404  0.491783322
Q19  0.66366451  0.53923025  0.46930370  0.40759829  0.40290705  0.362174942
Q20  1.00000000  0.53363364  0.48133179  0.44231107  0.43668353  0.465913684
Q21  0.53363364  1.00000000  0.53840187  0.51372680  0.48690754  0.507755806
Q22  0.48133179  0.53840187  1.00000000  0.81678262  0.80012620  0.785792095
Q23  0.44231107  0.51372680  0.81678262  1.00000000  0.82648536  0.826828772
Q24  0.43668353  0.48690754  0.80012620  0.82648536  1.00000000  0.834508912
Q25  0.46591368  0.50775581  0.78579210  0.82682877  0.83450891  1.000000000
Q26  0.36491220  0.36310847  0.63054107  0.57546685  0.61300444  0.579091525
Q27  0.28393313  0.38269686  0.57772835  0.57336549  0.63663594  0.585557636
Q28  0.28168103  0.31894058  0.39050460  0.42862153  0.37909530  0.450011058
           Q26         Q27         Q28          Q29         Q30         Q31
Q2  -0.3420537 -0.30281420 -0.08996306 -0.248697056 -0.30104837 -0.06573915
Q3   0.1898312  0.14240227  0.28755850  0.044406735  0.18931278  0.16568947
Q4  -0.2292136 -0.19512977 -0.07684684 -0.062610438 -0.06206686 -0.02764619
Q5   0.6072600  0.64362457  0.33471562  0.277119396  0.51825293  0.38074189
Q6   0.5008619  0.54770910  0.28549267  0.344193208  0.47061565  0.37463909
Q7   0.3600066  0.35456801  0.28712704  0.251712483  0.43223191  0.26976011
Q8   0.6136846  0.65372338  0.39515772  0.384279551  0.61997015  0.42296262
Q9   0.5718961  0.55508245  0.43423034  0.417888515  0.59598171  0.38042066
Q10  0.6260801  0.65689030  0.47151164  0.364701880  0.59910760  0.44358246
Q11  0.4605413  0.50637962  0.49970222  0.410572767  0.48594304  0.31357839
Q12  0.5249921  0.55342211  0.51042994  0.408896393  0.52780972  0.35266898
Q13  0.5867822  0.63453987  0.44003031  0.417259976  0.65131831  0.41928057
Q14  0.5619109  0.61814714  0.39293797  0.298850143  0.57542221  0.36464300
Q15  0.5680987  0.55313168  0.47518540  0.417714146  0.62077078  0.47214076
Q16  0.3622417  0.39134956  0.28954120  0.236094400  0.41660378  0.34873082
Q17  0.3573221  0.28266950  0.32485448  0.147323395  0.33379247  0.31705239
Q18  0.3617616  0.41043290  0.34999736  0.336504418  0.44148198  0.36074807
Q19  0.3685231  0.25447379  0.31036825  0.286612230  0.39122518  0.34663151
Q20  0.3649122  0.28393313  0.28168103  0.297937014  0.35986171  0.35602838
Q21  0.3631085  0.38269686  0.31894058  0.282769387  0.41131142  0.38166029
Q22  0.6305411  0.57772835  0.39050460  0.353793126  0.59448602  0.45437869
Q23  0.5754668  0.57336549  0.42862153  0.445583380  0.60105234  0.45432897
Q24  0.6130044  0.63663594  0.37909530  0.438356755  0.63120319  0.45673071
Q25  0.5790915  0.58555764  0.45001106  0.473548161  0.63778394  0.40336152
Q26  1.0000000  0.74704021  0.54827610  0.483111962  0.66488622  0.60842964
Q27  0.7470402  1.00000000  0.42554372  0.477659464  0.66994974  0.49084124
Q28  0.5482761  0.42554372  1.00000000  0.510935063  0.47329600  0.41840995
             Q32          Q33           Q34         Q35         Q36         Q37
Q2   0.283051079  0.257421872  0.3633680005 -0.08393565 -0.03157290 -0.01344559
Q3   0.190377898  0.117099853  0.1288434715  0.02712218  0.07528833  0.12000292
Q4   0.293965805  0.211075266  0.3053206029 -0.02260416 -0.08107811 -0.03577411
Q5  -0.106178538 -0.068758138 -0.0944539896  0.32869330  0.30424843  0.23574534
Q6   0.053946901 -0.141987859 -0.0785771203  0.35123959  0.21164231  0.22634781
Q7   0.029953141 -0.063102316 -0.1204204826  0.13813366  0.08941715  0.18607045
Q8  -0.010367664 -0.046208981 -0.0842356850  0.29645831  0.27869908  0.20843767
Q9  -0.021243901 -0.044920211 -0.1239095662  0.23809419  0.25708395  0.15315684
Q10 -0.117691909 -0.113033694 -0.2057638395  0.33558982  0.37926098  0.29200081
Q11  0.070542236  0.086779152 -0.0089678580  0.26833179  0.37613339  0.24107303
Q12  0.030762943  0.025370369 -0.1019966049  0.25271374  0.37527075  0.23265801
Q13 -0.007314680 -0.017000561 -0.1280858143  0.38236528  0.41076488  0.34511002
Q14 -0.055121366 -0.025334799 -0.1562374409  0.33535309  0.34897586  0.34910189
Q15 -0.012809683 -0.114484941 -0.2125545662  0.43542044  0.36750686  0.35560982
Q16  0.024651424  0.058193668 -0.0005260399  0.26503085  0.21756770  0.17678769
Q17  0.147449879  0.031027740  0.0692886756  0.11696139  0.28768693  0.28434940
Q18  0.232340768  0.148251808  0.0300850702  0.23039309  0.26834987  0.19435062
Q19  0.059036734 -0.032829315 -0.0793027158  0.22716894  0.15379946  0.17187887
Q20  0.127381048  0.013406274 -0.0738500675  0.14943145  0.13498224  0.17573176
Q21  0.164175129  0.062305630  0.0632309298  0.28709808  0.31692136  0.30772803
Q22 -0.057054719 -0.076021739 -0.2323637887  0.30624319  0.34362910  0.28468796
Q23 -0.027880249  0.020561820 -0.1468634204  0.36588694  0.39126338  0.32951624
Q24 -0.073904366 -0.023299980 -0.1607998980  0.31857075  0.40665571  0.31732257
Q25 -0.007927801 -0.034016414 -0.1569231714  0.31679217  0.39236632  0.27236596
Q26 -0.103954120 -0.182911191 -0.1970267905  0.45292388  0.39749083  0.34559884
Q27  0.023066214  0.052405827 -0.0194619916  0.45130618  0.51458447  0.47376029
Q28  0.165490928  0.062512653  0.0765353997  0.25254384  0.23977334  0.16591644
 [ reached getOption("max.print") -- omitted 9 rows ]
